emp_no,first_name,last_name,from_date,salary,title,to_date
11207,Saeed,Gips,1999-01-31,49728,Engineer,9999-01-01
11208,Saniya,Valtorta,1994-11-17,83660,Technique Leader,9999-01-01
11211,Yurij,Rissland,1985-09-17,72668,Senior Engineer,9999-01-01
11217,Kellie,Mawatari,1990-03-11,40000,Senior Engineer,9999-01-01
11232,Hidefumi,Crelier,1994-08-02,43863,Senior Staff,9999-01-01
11240,Kiam,Condotta,1989-01-06,61739,Engineer,9999-01-01
11249,Randi,Cyre,1986-09-22,43324,Engineer,9999-01-01
11251,Bezalel,Chinal,1986-06-15,69432,Senior Staff,9999-01-01
11268,Aimee,Petersohn,1987-10-25,40000,Senior Engineer,9999-01-01
11275,Hitomi,Eppinger,1989-04-25,58382,Senior Engineer,9999-01-01
11290,Visit,Dredge,1999-05-13,65034,Engineer,9999-01-01
11295,Abdelkader,Lanzelotte,1985-05-15,66622,Senior Staff,9999-01-01
11319,Pranas,Marrakchi,1998-11-01,40000,Assistant Engineer,9999-01-01
11320,Atilio,McAlpine,1990-04-06,45118,Senior Staff,9999-01-01
11322,Nathalie,Pocchiola,1985-07-07,43021,Senior Engineer,9999-01-01
11324,Kauko,Billingsley,1985-08-29,54288,Senior Engineer,9999-01-01
11338,Kwangsub,Hanratty,1998-10-28,82210,Senior Staff,9999-01-01
11339,Flemming,Massonet,1989-12-19,40000,Senior Engineer,9999-01-01
11347,Anneli,Jonsson,1986-04-20,41524,Senior Engineer,9999-01-01
11365,Toshimi,Shinomoto,1997-12-18,56463,Engineer,9999-01-01
11376,Valery,Suomi,1986-03-14,46964,Senior Staff,9999-01-01
11380,Kenroku,Pelc,1991-04-19,53345,Senior Engineer,9999-01-01
11385,Shiv,Ullian,1999-08-08,40000,Engineer,9999-01-01
11386,Alselm,Assaf,1987-11-30,47726,Senior Engineer,9999-01-01
11393,Junsik,Junot,1985-04-30,40000,Senior Engineer,9999-01-01
11398,Oscar,Peir,1994-09-07,44625,Senior Staff,9999-01-01
11404,Bedrich,Borovoy,1990-09-25,42907,Technique Leader,9999-01-01
11415,Sanjiv,Anido,1996-12-07,40000,Engineer,9999-01-01
11421,Josyula,Msuda,1986-09-02,52416,Senior Engineer,9999-01-01
11441,Marlo,Aingworth,1987-03-27,67352,Senior Staff,9999-01-01
11449,Kotesh,Asser,1995-02-03,61434,Senior Engineer,9999-01-01
11459,Duke,Suomi,1986-05-03,40000,Senior Staff,9999-01-01
11469,Guttorm,Giaccio,1994-09-08,44625,Senior Engineer,9999-01-01
11506,Rance,Picel,1996-04-08,89747,Staff,9999-01-01
11509,Aleksander,Feldhoffer,1987-11-12,40000,Senior Engineer,9999-01-01
11513,Otmar,Mahnke,1992-08-25,82525,Senior Staff,9999-01-01
11515,Ulf,Basawa,1998-09-21,70182,Staff,9999-01-01
11518,Jinxi,Oxman,1994-09-22,40000,Senior Staff,9999-01-01
11524,Xiadong,Standera,1996-07-05,41081,Senior Engineer,9999-01-01
11527,Alagu,Boyle,1999-01-28,60212,Staff,9999-01-01
11528,Zito,Dolinsky,1987-06-15,44026,Technique Leader,9999-01-01
11537,DAIDA,Pehl,1986-07-06,96023,Senior Staff,9999-01-01
11554,Subhash,Taubenfeld,1998-07-15,46065,Staff,9999-01-01
11555,Kotesh,Perfilyeva,1986-10-14,40000,Senior Staff,9999-01-01
11567,Teiji,Mitzlaff,1988-02-03,86261,Senior Staff,9999-01-01
11568,Martins,Fujisaki,1992-03-13,54673,Senior Engineer,9999-01-01
11603,Herb,Swen,1985-04-13,69180,Senior Staff,9999-01-01
11607,Tomokazu,Foong,1995-04-19,49584,Engineer,9999-01-01
11615,Shem,Isaak,1991-08-29,46591,Senior Staff,9999-01-01
11624,Adil,Gammage,1989-07-15,42001,Senior Engineer,9999-01-01
11628,Fan,Malinowski,1988-10-23,43966,Senior Engineer,9999-01-01
11640,Valeri,Coorg,1988-09-26,52520,Senior Engineer,9999-01-01
11647,Magy,Nitsche,1988-05-11,40000,Senior Engineer,9999-01-01
11660,Gill,Stenning,1986-11-22,65758,Senior Staff,9999-01-01
11673,Henk,Felder,1989-06-10,40000,Technique Leader,9999-01-01
11676,Valeri,Ferriere,1998-07-15,43310,Engineer,9999-01-01
11681,Fumitake,Benzmuller,1988-08-27,40000,Senior Engineer,9999-01-01
11684,Oksana,Gide,1986-02-21,68753,Senior Staff,9999-01-01
11696,Dante,Rothe,1985-10-23,51633,Senior Staff,9999-01-01
11732,Sanjoy,Ranft,1996-12-22,40000,Senior Engineer,9999-01-01
11735,Amalendu,Picci,1988-07-14,40000,Senior Staff,9999-01-01
11746,Koichi,Marrakchi,1988-11-17,55951,Senior Staff,9999-01-01
11751,Jiafu,Emiris,1988-11-03,40000,Senior Staff,9999-01-01
11764,Sanjay,Anick,1991-12-16,64875,Senior Engineer,9999-01-01
11769,Chandrasekaran,Lampe,1993-10-22,40000,Senior Staff,9999-01-01
11772,Gaurav,Penz,1999-11-07,61295,Engineer,9999-01-01
11797,Chenxi,Thambidurai,1988-08-30,88050,Senior Staff,9999-01-01
11810,Amabile,Bhattacharjee,1992-01-05,41256,Senior Engineer,9999-01-01
11817,Niranjan,Markovitch,1986-04-12,50638,Senior Staff,9999-01-01
11832,Arto,Zlotek,1996-02-04,40000,Engineer,9999-01-01
11844,Shawna,Demeyer,1988-01-27,78049,Senior Engineer,9999-01-01
11853,Zeljko,Kusakabe,1988-11-17,61941,Senior Staff,9999-01-01
11857,Divier,Farrag,1986-08-27,94805,Senior Staff,9999-01-01
11864,Pradeep,Kriebel,1995-11-02,52517,Staff,9999-01-01
11871,Nalini,Sommen,1993-10-13,67424,Senior Engineer,9999-01-01
11872,Cheong,Riexinger,1994-02-12,43159,Senior Staff,9999-01-01
11894,Mitchel,Validov,1988-06-22,56198,Senior Engineer,9999-01-01
11897,Cordelia,Setlzner,1988-06-16,80049,Senior Staff,9999-01-01
11906,Hideo,Boguraev,1999-02-07,81324,Engineer,9999-01-01
11915,Miomir,Mawatari,1992-06-28,58042,Senior Engineer,9999-01-01
11931,Gunilla,Chiodo,1991-01-13,73369,Senior Staff,9999-01-01
11933,Basil,Erman,1987-06-13,56130,Senior Engineer,9999-01-01
11949,Martijn,Harbusch,1985-03-11,40000,Technique Leader,9999-01-01
11983,Jaana,Hedayat,1986-10-11,40000,Senior Engineer,9999-01-01
11993,Marit,Dalphin,1996-10-22,56505,Senior Staff,9999-01-01
12011,Zhilian,Coorg,1988-07-22,85833,Senior Staff,9999-01-01
12036,Mads,Ratzlaff,1986-09-05,67143,Senior Staff,9999-01-01
12037,Arunas,Katzenelson,1986-10-01,47805,Senior Staff,9999-01-01
12050,Yuchang,Tchuente,1989-04-01,46704,Engineer,9999-01-01
12062,Margareta,Worfolk,1996-01-04,44199,Senior Staff,9999-01-01
12069,Ayonca,Burnard,1985-05-13,51928,Senior Engineer,9999-01-01
12070,Ger,Shokrollahi,1988-11-14,50233,Technique Leader,9999-01-01
12076,Karlis,Siprelle,1985-03-25,75381,Senior Staff,9999-01-01
12082,Xinan,Yamaashi,1986-01-29,72118,Senior Staff,9999-01-01
12089,Bilhanan,Socorro,1986-10-22,46288,Senior Staff,9999-01-01
12099,Nobuyoshi,Kuzuoka,1994-02-15,104610,Senior Staff,9999-01-01
12112,Satyanarayana,Avouris,1989-09-26,76538,Senior Staff,9999-01-01
12122,Satoru,Krone,1987-07-24,46398,Senior Engineer,9999-01-01
12123,Xiahua,Syrzycki,1987-07-18,64879,Senior Staff,9999-01-01
12125,Shounak,Erman,1997-03-31,41215,Engineer,9999-01-01
12149,Suebskul,Grandbois,1988-10-01,109934,Senior Staff,9999-01-01
12159,Shem,Perly,1985-07-17,61210,Senior Engineer,9999-01-01
12165,Xiaobin,Maquelin,1994-08-29,41951,Senior Engineer,9999-01-01
12183,Harngdar,Iisaku,1998-04-04,40000,Engineer,9999-01-01
12192,Feiyu,Klyachko,1986-09-02,41625,Senior Engineer,9999-01-01
12205,Sushant,Rossi,1987-11-11,40000,Senior Engineer,9999-01-01
12206,Barton,Janetzko,1985-03-27,40000,Senior Engineer,9999-01-01
12218,Yaghout,Strooper,1991-03-12,40000,Senior Engineer,9999-01-01
12221,Vincent,Melter,1985-09-16,56736,Senior Engineer,9999-01-01
12222,Abdelwaheb,Holburn,1987-08-15,55840,Senior Staff,9999-01-01
12223,Niteen,Koyama,1986-08-13,54459,Senior Engineer,9999-01-01
12247,Subbu,Penttonen,1985-04-09,59183,Technique Leader,9999-01-01
12249,Eldridge,Sadowski,1987-06-21,70099,Senior Engineer,9999-01-01
12256,Guadalupe,Reghbati,1985-08-26,40000,Senior Staff,9999-01-01
12264,Mart,Pagter,1998-01-09,51816,Engineer,9999-01-01
12270,Shakhar,Kornyak,1989-08-19,52840,Senior Staff,9999-01-01
12272,Behnaam,Grandbois,1987-12-08,43811,Senior Staff,9999-01-01
12308,Mototsugu,Cronau,1985-08-11,58741,Senior Staff,9999-01-01
12311,Susanne,Lubachevsky,1985-10-22,40000,Senior Engineer,9999-01-01
12327,DAIDA,Bruckman,1986-10-16,67449,Senior Engineer,9999-01-01
12341,Rasiah,Luga,1985-05-25,40000,Senior Engineer,9999-01-01
12343,Sorina,Slaats,1988-08-25,52134,Senior Staff,9999-01-01
12365,Kamakshi,Bisiani,1988-09-12,40000,Senior Engineer,9999-01-01
12373,Mooi,Driscoll,1993-11-11,75986,Senior Staff,9999-01-01
12395,Sanjit,Felder,1995-06-05,66909,Senior Staff,9999-01-01
12399,Mihalis,Luga,1987-12-07,85582,Senior Staff,9999-01-01
12411,Shao,Ibel,1986-08-17,97610,Senior Staff,9999-01-01
12413,Hugh,Gadepally,1994-03-04,53179,Senior Engineer,9999-01-01
12417,Dannz,Spelt,1998-02-02,67342,Senior Engineer,9999-01-01
12422,Berhard,Demos,1993-06-07,71376,Senior Staff,9999-01-01
12454,Kerryn,Farris,1998-12-18,41347,Staff,9999-01-01
12464,Shai,Milicic,1998-06-01,50448,Staff,9999-01-01
12475,Filipe,Roison,1987-04-26,40000,Senior Engineer,9999-01-01
12487,Mona,Reghbati,1998-12-07,40000,Senior Staff,9999-01-01
12489,Arnould,Munck,1986-04-11,63306,Senior Engineer,9999-01-01
12490,Jackson,Muchinsky,1994-05-09,40000,Senior Engineer,9999-01-01
12497,Stein,Penz,1989-09-25,81191,Senior Staff,9999-01-01
12501,Morrie,Matheson,1986-06-05,76082,Senior Staff,9999-01-01
12504,Adly,Rosaz,1997-08-14,40000,Engineer,9999-01-01
12514,Tomofumi,Melter,1999-11-13,54241,Engineer,9999-01-01
12528,Conor,Cincotta,1988-09-24,40000,Senior Staff,9999-01-01
12534,Yongmao,Gerlach,1985-08-14,66715,Senior Engineer,9999-01-01
12541,Shih,Nanard,1988-08-31,93105,Senior Staff,9999-01-01
12542,Kazuhide,Bouloucos,1987-09-12,44176,Senior Staff,9999-01-01
12551,Jeane,Tzvieli,1987-12-04,40000,Senior Engineer,9999-01-01
12553,Aral,Vesna,1987-02-28,40000,Senior Staff,9999-01-01
12557,Stafford,Kopetz,1988-03-20,41840,Senior Engineer,9999-01-01
12589,Anoosh,Chleq,1988-09-08,59441,Senior Engineer,9999-01-01
12596,Breannda,Roisin,1996-09-29,40000,Senior Staff,9999-01-01
12601,Ghassan,Simkin,1992-07-09,41714,Senior Engineer,9999-01-01
12608,Nectarios,Mondadori,1991-02-22,40000,Senior Staff,9999-01-01
12635,Xinyu,Restivo,1995-02-03,40000,Senior Engineer,9999-01-01
12638,Yuqun,Seiwald,1999-04-29,56677,Engineer,9999-01-01
12642,Suebskul,Gips,1996-10-28,68271,Senior Staff,9999-01-01
12651,Pragnesh,Bael,1988-01-27,75150,Senior Staff,9999-01-01
12662,Leucio,Alvarado,1985-08-27,69016,Engineer,9999-01-01
12663,Nobuyoshi,Stellhorn,1986-09-29,49966,Technique Leader,9999-01-01
12664,Zhonghua,Parveen,1999-08-04,40000,Staff,9999-01-01
12689,Luerbio,Boudaillier,1992-11-23,59689,Senior Engineer,9999-01-01
12691,Oddvar,Gils,1992-08-25,48493,Senior Engineer,9999-01-01
12697,Uri,Brizzi,1986-07-11,40000,Senior Staff,9999-01-01
12709,Ronghao,Botman,1995-02-26,45510,Senior Engineer,9999-01-01
12717,Tzu,Jiafu,1999-10-20,53194,Staff,9999-01-01
12722,Elliott,Cheshire,1985-03-29,62325,Senior Staff,9999-01-01
12726,Fumitake,Panwar,1994-05-19,61177,Senior Engineer,9999-01-01
12729,Nahla,Rahier,1992-10-15,51796,Senior Engineer,9999-01-01
12731,Yongmao,Waymire,1988-04-05,40000,Senior Staff,9999-01-01
12732,Mara,Takanami,1988-04-06,74436,Senior Staff,9999-01-01
12734,Gil,Frijda,1986-03-03,40000,Senior Engineer,9999-01-01
12755,Rildo,Rodite,1987-03-18,40196,Senior Staff,9999-01-01
12773,Jenwei,Lovengreen,1985-03-05,65556,Senior Engineer,9999-01-01
12790,Gunilla,Perl,1995-08-08,87760,Senior Staff,9999-01-01
12795,Masoud,Fordan,1988-06-23,56969,Senior Staff,9999-01-01
12798,Lillian,Beeson,1987-12-27,81145,Senior Staff,9999-01-01
12803,Gad,Boissier,1985-03-16,91789,Senior Staff,9999-01-01
12815,Sushant,Junot,1985-02-27,65073,Senior Staff,9999-01-01
12819,Mountaz,Gubsky,1989-09-09,48455,Senior Engineer,9999-01-01
12848,Kazuhide,Smeets,1997-05-11,40000,Engineer,9999-01-01
12863,Leif,Matheson,1985-09-06,62803,Senior Engineer,9999-01-01
12872,Marl,Schmittgen,1986-09-09,56040,Senior Staff,9999-01-01
12879,Baruch,Eugenio,1990-06-11,40000,Senior Engineer,9999-01-01
12890,Neven,Casley,1985-10-31,66803,Senior Staff,9999-01-01
12893,Licheng,Crouzet,1987-03-18,50803,Senior Staff,9999-01-01
12895,Roddy,Serot,1993-08-15,40000,Senior Engineer,9999-01-01
12905,Munehiro,Gecsei,1987-07-19,58659,Senior Engineer,9999-01-01
12926,Heekeun,Luby,1985-12-24,68314,Senior Staff,9999-01-01
12940,Odinaldo,Farrar,1987-12-12,49760,Senior Engineer,9999-01-01
12941,Tommaso,Perelgut,1986-11-06,67069,Senior Engineer,9999-01-01
12949,Geoff,Asrin,1987-02-12,40000,Senior Engineer,9999-01-01
12977,Byong,Markovitch,1987-08-24,61326,Senior Engineer,9999-01-01
12983,Elliott,Hambrick,1999-06-28,57252,Staff,9999-01-01
13030,Yahiko,Kroll,1993-11-25,51770,Senior Staff,9999-01-01
13046,Vivian,Stafford,1987-04-19,40000,Senior Staff,9999-01-01
13047,Atilio,Chelton,1992-02-26,52323,Senior Engineer,9999-01-01
13075,Rosella,Morrin,1986-08-17,40000,Senior Staff,9999-01-01
13076,Deniz,Skafidas,1995-01-28,50582,Engineer,9999-01-01
13096,Ibibia,Armand,1994-04-22,52544,Senior Engineer,9999-01-01
13103,Srinidhi,Ellozy,1988-06-19,40000,Senior Engineer,9999-01-01
13124,Quingbo,Garnick,1985-03-17,73785,Senior Staff,9999-01-01
13133,Guther,Senzako,1985-09-03,67777,Senior Staff,9999-01-01
13134,Lorien,Chepyzhov,1987-10-23,51227,Senior Engineer,9999-01-01
13144,Persi,Nollmann,1989-06-19,52825,Senior Staff,9999-01-01
13146,Haldon,Erie,1985-05-25,61398,Senior Staff,9999-01-01
13147,Shichao,Ginesta,1993-06-29,77429,Senior Staff,9999-01-01
13156,Akeel,Millington,1992-08-18,48285,Senior Engineer,9999-01-01
13165,Lucian,Benner,1988-03-16,42796,Senior Engineer,9999-01-01
13168,Munir,Stentiford,1987-09-11,49210,Senior Engineer,9999-01-01
13170,Cheong,Bernardeschi,1993-01-09,49012,Senior Staff,9999-01-01
13171,Anoosh,Birnbaum,1987-08-31,40000,Senior Engineer,9999-01-01
13173,Arve,Horswill,1987-09-24,46354,Senior Staff,9999-01-01
13179,Moty,Janocha,1999-02-19,90233,Staff,9999-01-01
13182,Kokou,Rodite,1999-03-03,46832,Engineer,9999-01-01
13186,Kyoichi,Barbanera,1986-04-29,93138,Senior Staff,9999-01-01
13192,Rosita,Flowers,1993-02-01,43986,Technique Leader,9999-01-01
13202,Aram,Scharstein,1986-03-29,51915,Senior Staff,9999-01-01
13210,Jianhua,Klassen,1997-07-27,83961,Senior Staff,9999-01-01
13213,Hein,Billawala,1988-08-30,61131,Senior Staff,9999-01-01
13232,Mitchel,Fujisaki,1986-06-02,40000,Technique Leader,9999-01-01
13233,Alselm,Chvatal,1987-03-31,49414,Senior Engineer,9999-01-01
13238,Ebru,Foote,1993-10-10,40000,Senior Staff,9999-01-01
13240,King,Pileggi,1994-03-10,49018,Senior Engineer,9999-01-01
13250,Zeydy,Schusler,1988-10-28,47829,Senior Engineer,9999-01-01
13272,Arun,Jiang,1985-03-10,40000,Senior Staff,9999-01-01
13276,Yechiam,Seuren,1986-03-09,65836,Senior Staff,9999-01-01
13288,Muneo,Broomell,1987-04-14,40000,Senior Staff,9999-01-01
13291,Georg,Stamatiou,1986-10-30,54720,Senior Engineer,9999-01-01
13302,Mack,Alencar,1990-09-26,40000,Senior Engineer,9999-01-01
13315,Sakthirel,Stroustrup,1991-06-02,40000,Senior Engineer,9999-01-01
13332,Nidapan,Pearson,1987-09-24,40000,Senior Engineer,9999-01-01
13333,Yoshinari,Hennebert,1988-03-23,50997,Engineer,9999-01-01
13341,Bodh,Doering,1986-03-11,40000,Senior Staff,9999-01-01
13343,Heon,Usery,1988-07-29,40000,Senior Staff,9999-01-01
13368,Kiyokazu,Klassen,1997-09-30,52872,Staff,9999-01-01
13371,Nakhoon,Riexinger,1991-12-13,40000,Senior Engineer,9999-01-01
13373,Juichirou,Naumovich,1991-08-24,82749,Senior Staff,9999-01-01
13385,Claudi,Buchter,1986-06-10,40000,Senior Staff,9999-01-01
13386,Khosrow,Sgarro,1986-02-23,91420,Technique Leader,9999-01-01
13389,Divine,Cmelik,1988-03-23,40000,Senior Staff,9999-01-01
13392,Fumitake,Beidas,1988-08-26,69221,Senior Staff,9999-01-01
13396,Chuanyi,Aumann,1994-03-29,40000,Senior Staff,9999-01-01
13402,Augustine,Dulli,1999-09-12,40000,Engineer,9999-01-01
13405,Randy,Baba,1990-05-10,60799,Senior Staff,9999-01-01
13407,Gio,Chenoweth,1992-10-03,60348,Senior Engineer,9999-01-01
